NOMBRE;FECHA;OBJETO;LUGAR;PROVINCIA;S. Ordinarios;S. De mérito;S. Honorarios;S.Protectores;Socios Totales
Artes y Oficios . . ,;1902;ldem...................•.......;Idem...........;MÁLAGA;20;9;3;2;34
La Lucha............... ..................•.....;1901;ldem....•••..•........•....•..;Vélez-Málaga (Valdés) ....... ;MÁLAGA;132;;3;9;144
La Alfarnateña;1903;Idem;Alfarnate;MÁLAGA;487;;;;487
El Ideal;?;Idem;Almogia;MÁLAGA;1011;;;;1011
"; El Universo (agricultores)";1902;ldem....•........ ·.........•...;ldem...........;MÁLAGA;205;;;;205
La Agricultura;1901;Idem......•.......•........... ~;Alozaina..........;MÁLAGA;680;;;;680
Da Redención del Campesino;1903;Idem ........................... o;Benamocarra.....;MÁLAGA;114;;;;114
¡ Circulo Obrero Republicano .;1903;Política de partido.;Benarnocarra . ....;;26;;2;;28
¡ La Tierra ••••••••••••••••••••••;1901;Mejorar las condiciones del trabajo.;Benagalbón. ....•.;;50;;;;50
La Libertad;1903;Idem.....••..............•....;Idem...........;;50;;;;50
Union;1901;Idem....................•......;"Campanillas.. "" ..";;113;;3;9;125
! La Sabora (agricultores y similares).. . . .. . ..;1901;Idem..........................;Cañete la Real . ...;;130;;;;130
 Circulo Republicano Instructivo Obrero .;1904;Política de partido ...........;Casabermeja . .....;;157;;;;157
La Antorcha;1901;Mejorar las condiciones del trabajo.;Casarabonela.....•;;800;;;;800
¡ El Genil.....•.....•..... .......................;1903;Idem.....•.•......·...........•;Cuevas Bajas . ....;;154;;;;154
Unión Benéfica Obrera (agrupación socialista).¡ !;1904;Política de partido............ , ...;Cuevas de San Marcos;;10;;;;10
. Círculo Republicano Obrero•.........•...•.......;1901;Idem....•.............•.......;Frigiliana;;92;;;2;94
Circulo Obrero Republicano ••••••••••••;1903;Idem.....•.....•......•.......;Fuengirola. ......;;390;8;2;25;425
......• La Verdad...•........ ..........................;1902;Mejorar las condiciones del trabajo............ ~ ...............;Guaro;;25;;;;25
La Madrugadora;1902;Idem;Iznate;;170;;;;170
 La Revancha .;1902;Idem..........................;Nerja;;5;;;;5
El Productor ... ......•..........................;1903;Idem..........................;Idem............;;93;;;;93
La Moral (agricultores) .;1902;"Idem...........•...... '""";.Peñarrubia. ...•..;;175;16;10;6;207
Centro Republicano Obrero _ .;1903;1 Política de partido ...............;Periana.... .......;;72;;;;72
La Bienhechora .;1904;"Instrucción..... "" ............. '";Pizarra. .........;;45;;5;10;60
La Laboriosidad. . . . . . . . . . . . . . . . . .. .  ••••••;1902;Idem.......•.••...............;Ríogordo . ........;;200;;;;200
La Opinión de la Costa •••••••••••;1901;Mejorar las condiciones del trabajo.;Sedella. ..........;;181;10;;1;192
La Estrella (agricultores)• _ •••••;1903;Idem ..........................;Teba . .....•......;;400;;;;400
El Progreso Social .;1904;Idem.~· ........... _............;"Idem........ o""";;40;;;;40
El Adelanto.. ..............•....................;1901;Idem..........................;Totalán...........;;356;;3;1;360
La Evolucion;1901;Idem.•..•......................;Villanueva del Rosario. ...... - ....;;234;;;;234
